city,state_id,lat,lng,population,density,id
Casper,WY,42.843,-106.3205,69224,881,0
Nashville,TN,36.1714,-86.7844,1065078,535,1
Dayton,OH,39.7798,-84.1999,718772,974,2
Staten Island,NY,40.5834,-74.1496,476015,3155,3
Brooklyn,NY,40.6501,-73.9496,2629150,14606,4
New York,NY,40.6943,-73.9249,19164071,10934,5
Queens,NY,40.7498,-73.7976,2333054,8247,6
Manhattan,NY,40.7834,-73.9662,1643734,27799,7
Bronx,NY,40.8501,-73.8662,1455720,13202,8
Lees Summit,MO,38.9172,-94.3816,89467,581,9
Methuen,MA,42.734,-71.1889,49917,866,10
Louisville,KY,38.1662,-85.6488,1003412,902,11
Indianapolis,IN,39.7771,-86.1458,1550488,913,12
Athens,GA,33.9508,-83.3689,137582,409,13
Augusta,GA,33.3644,-82.0708,389215,251,14
Peachtree Corners,GA,33.9668,-84.2321,42773,1020,15
Brookhaven,GA,33.8746,-84.3315,52444,1747,16
City of Milford,CT,41.2253,-73.0624,52536,926,17
Eastvale,CA,33.9617,-117.5803,61151,1864,18
Boise,ID,43.5991,-116.2306,379410,1070,19
Fairbanks,AK,64.8353,-147.6533,66996,398,20
Anchorage,AK,61.1508,-149.1091,256724,67,21
El Paso,TX,31.8478,-106.431,845059,1027,22
Oro Valley,AZ,32.4226,-110.9767,43781,476,23
Marana,AZ,32.4355,-111.1558,43474,138,24
Victoria,TX,28.8284,-96.9848,68845,705,25
Dunwoody,GA,33.9418,-84.3123,48884,1455,26
Menifee,CA,33.6909,-117.1849,88531,735,27
Los Lunas,NM,34.8092,-106.7663,66411,374,28
Castle Rock,CO,39.3761,-104.8536,57666,655,29
Parker,CO,39.5075,-104.7746,51163,927,30
Texas City,TX,29.4127,-94.9658,113847,289,31
San Antonio,TX,29.4722,-98.5247,1976787,1250,32
Sugar Land,TX,29.5956,-95.6283,88177,1013,33
San Marcos,TX,29.8766,-97.9311,72928,791,34
Temple,TX,31.1077,-97.3899,100641,407,35
San Angelo,TX,31.4424,-100.4503,100472,652,36
Waco,TX,31.5597,-97.1882,185680,583,37
Sierra Vista,AZ,31.5631,-110.3153,51927,109,38
Sahuarita,AZ,31.9328,-110.9654,46385,353,39
Tucson,AZ,32.1558,-110.8777,860333,887,40
Tyler,TX,32.3184,-95.3065,140857,714,41
Wylie,TX,33.0353,-96.517,47701,871,42
Flower Mound,TX,33.0344,-97.1147,73547,677,43
Yuma,AZ,32.599,-114.5489,137936,303,44
Vista,CA,33.1895,-117.2386,101659,2101,45
Santee,CA,32.8555,-116.9848,57834,1375,46
San Marcos,CA,33.135,-117.1743,95261,1509,47
San Diego,CA,32.8312,-117.1225,3181172,1670,48
Texarkana,TX,33.4487,-94.0814,80888,500,49
Yorba Linda,CA,33.889,-117.7714,68235,1364,50
Westminster,CA,33.7523,-117.9938,91565,3520,51
Tustin,CA,33.7309,-117.8106,80395,2791,52
Santa Ana,CA,33.7366,-117.8819,334217,4753,53
San Clemente,CA,33.4498,-117.6103,65309,1373,54
Sherman,TX,33.6266,-96.6195,66791,365,55
Gilbert,AZ,33.3103,-111.7463,237133,1346,56
Tempe,AZ,33.3881,-111.9318,182498,1762,57
Surprise,AZ,33.6802,-112.4525,132677,474,58
Scottsdale,AZ,33.6872,-111.865,246645,517,59
Buckeye,AZ,33.4318,-112.643,64629,63,60
Temecula,CA,33.4928,-117.1315,113054,1173,61
San Jacinto,CA,33.797,-116.9915,47413,711,62
Wichita Falls,TX,33.9072,-98.5293,99596,559,63
Whittier,CA,33.9678,-118.0188,86883,2289,64
West Covina,CA,34.0555,-117.9112,107847,2595,65
Torrance,CA,33.8346,-118.3417,147195,2775,66
South Gate,CA,33.9448,-118.1926,95538,5097,67
Santa Monica,CA,34.0232,-118.4813,92478,4243,68
Santa Clarita,CA,34.4119,-118.5036,266958,1332,69
Thousand Oaks,CA,34.1914,-118.8755,218548,901,70
Simi Valley,CA,34.2663,-118.749,127308,1175,71
Santa Maria,CA,34.9334,-120.4433,139270,1801,72
Santa Barbara,CA,34.4285,-119.7202,203655,1821,73
Prescott Valley,AZ,34.5983,-112.3178,94154,408,74
San Luis Obispo,CA,35.2671,-120.6689,62391,1397,75
Apple Valley,CA,34.5329,-117.2102,72553,376,76
